match_date,day,match_hour,week,country,season,league,venue,team,gf,ga,opponent,result,goal_diff
2025-01-26,Sunday,16,23,England,2024/2025,Premier League,Home,Aston Villa,1,1,West Ham,D,0
2025-02-01,Saturday,17,24,England,2024/2025,Premier League,Away,Aston Villa,0,2,Wolverhampton,L,-2
2025-02-15,Saturday,15,25,England,2024/2025,Premier League,Home,Aston Villa,1,1,Ipswich Town,D,0
2025-02-19,Wednesday,19,29,England,2024/2025,Premier League,Home,Aston Villa,2,2,Liverpool,D,0
2025-02-22,Saturday,17,26,England,2024/2025,Premier League,Home,Aston Villa,2,1,Chelsea,W,1
2025-02-25,Tuesday,19,27,England,2024/2025,Premier League,Away,Aston Villa,1,4,Crystal Palace,L,-3
2025-03-08,Saturday,17,28,England,2024/2025,Premier League,Away,Aston Villa,1,0,Brentford,W,1
2025-04-02,Wednesday,18,30,England,2024/2025,Premier League,Away,Aston Villa,3,0,Brighton Hove,W,3
2025-04-05,Saturday,16,31,England,2024/2025,Premier League,Home,Aston Villa,2,1,Nottingham,W,1
2025-04-12,Saturday,14,32,England,2024/2025,Premier League,Away,Aston Villa,3,0,Southampton,W,3
2025-04-19,Saturday,16,33,England,2024/2025,Premier League,Home,Aston Villa,4,1,Newcastle,W,3
2025-04-22,Tuesday,19,34,England,2024/2025,Premier League,Away,Aston Villa,1,2,Man City,L,-1
2025-05-03,Saturday,11,35,England,2024/2025,Premier League,Home,Aston Villa,1,0,Fulham,W,1
2025-05-10,Saturday,16,36,England,2024/2025,Premier League,Away,Aston Villa,1,0,Bournemouth,W,1
2025-05-16,Friday,18,37,England,2024/2025,Premier League,Home,Aston Villa,2,0,Tottenham,W,2
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Away,Aston Villa,0,2,Man United,L,-2
2024-08-18,Sunday,15,1,England,2024/2025,Premier League,Home,Chelsea,0,2,Man City,L,-2
2024-08-25,Sunday,13,2,England,2024/2025,Premier League,Away,Chelsea,6,2,Wolverhampton,W,4
