,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
72,2025-05-03,11,35,England,Premier League,Home,Aston Villa,1,0,Fulham,1,1
73,2025-05-10,16,36,England,Premier League,Away,Aston Villa,1,0,Bournemouth,1,1
74,2025-05-16,18,37,England,Premier League,Home,Aston Villa,2,0,Tottenham,1,2
75,2025-05-25,15,38,England,Premier League,Away,Aston Villa,0,2,Man United,0,-2
76,2024-08-18,15,1,England,Premier League,Home,Chelsea,0,2,Man City,0,-2
77,2024-08-25,13,2,England,Premier League,Away,Chelsea,6,2,Wolverhampton,1,4
78,2024-09-01,12,3,England,Premier League,Home,Chelsea,1,1,Crystal Palace,2,0
79,2024-09-14,19,4,England,Premier League,Away,Chelsea,1,0,Bournemouth,1,1
80,2024-09-21,11,5,England,Premier League,Away,Chelsea,3,0,West Ham,1,3
81,2024-09-28,14,6,England,Premier League,Home,Chelsea,4,2,Brighton Hove,1,2
82,2024-10-06,13,7,England,Premier League,Home,Chelsea,1,1,Nottingham,2,0
83,2024-10-20,15,8,England,Premier League,Away,Chelsea,1,2,Liverpool,0,-1
84,2024-10-27,14,9,England,Premier League,Home,Chelsea,2,1,Newcastle,1,1
85,2024-11-03,16,10,England,Premier League,Away,Chelsea,1,1,Man United,2,0
86,2024-11-10,16,11,England,Premier League,Home,Chelsea,1,1,Arsenal,2,0
87,2024-11-23,12,12,England,Premier League,Away,Chelsea,2,1,Leicester City,1,1
88,2024-12-01,13,13,England,Premier League,Home,Chelsea,3,0,Aston Villa,1,3
89,2024-12-04,19,14,England,Premier League,Away,Chelsea,5,1,Southampton,1,4
90,2024-12-08,16,15,England,Premier League,Away,Chelsea,4,3,Tottenham,1,1
91,2024-12-15,19,16,England,Premier League,Home,Chelsea,2,1,Brentford,1,1
92,2024-12-22,14,17,England,Premier League,Away,Chelsea,0,0,Everton,2,0
93,2024-12-26,15,18,England,Premier League,Home,Chelsea,1,2,Fulham,0,-1
94,2024-12-30,19,19,England,Premier League,Away,Chelsea,0,2,Ipswich Town,0,-2
95,2025-01-04,15,20,England,Premier League,Away,Chelsea,1,1,Crystal Palace,2,0
96,2025-01-14,19,21,England,Premier League,Home,Chelsea,2,2,Bournemouth,2,0
97,2025-01-20,20,22,England,Premier League,Home,Chelsea,3,1,Wolverhampton,1,2
98,2025-01-25,17,23,England,Premier League,Away,Chelsea,1,3,Man City,0,-2
99,2025-02-03,20,24,England,Premier League,Home,Chelsea,2,1,West Ham,1,1
100,2025-02-14,20,25,England,Premier League,Away,Chelsea,0,3,Brighton Hove,0,-3
101,2025-02-22,17,26,England,Premier League,Away,Chelsea,1,2,Aston Villa,0,-1
102,2025-02-25,20,27,England,Premier League,Home,Chelsea,4,0,Southampton,1,4
103,2025-03-09,14,28,England,Premier League,Home,Chelsea,1,0,Leicester City,1,1
104,2025-03-16,13,29,England,Premier League,Away,Chelsea,0,1,Arsenal,0,-1
105,2025-04-03,19,30,England,Premier League,Home,Chelsea,1,0,Tottenham,1,1
106,2025-04-06,13,31,England,Premier League,Away,Chelsea,0,0,Brentford,2,0
107,2025-04-13,13,32,England,Premier League,Home,Chelsea,2,2,Ipswich Town,2,0
108,2025-04-20,13,33,England,Premier League,Away,Chelsea,2,1,Fulham,1,1
109,2025-04-26,11,34,England,Premier League,Home,Chelsea,1,0,Everton,1,1
110,2025-05-04,15,35,England,Premier League,Home,Chelsea,3,1,Liverpool,1,2
111,2025-05-11,11,36,England,Premier League,Away,Chelsea,0,2,Newcastle,0,-2
112,2025-05-16,19,37,England,Premier League,Home,Chelsea,1,0,Man United,1,1
113,2025-05-25,15,38,England,Premier League,Away,Chelsea,1,0,Nottingham,1,1
114,2024-08-17,14,1,England,Premier League,Home,Everton,0,3,Brighton Hove,0,-3
115,2024-08-24,14,2,England,Premier League,Away,Everton,0,4,Tottenham,0,-4
116,2024-08-31,14,3,England,Premier League,Home,Everton,2,3,Bournemouth,0,-1
117,2024-09-14,16,4,England,Premier League,Away,Everton,2,3,Aston Villa,0,-1
118,2024-09-21,14,5,England,Premier League,Away,Everton,1,1,Leicester City,2,0
119,2024-09-28,14,6,England,Premier League,Home,Everton,2,1,Crystal Palace,1,1
120,2024-10-05,16,7,England,Premier League,Home,Everton,0,0,Newcastle,2,0
121,2024-10-19,14,8,England,Premier League,Away,Everton,2,0,Ipswich Town,1,2
122,2024-10-26,16,9,England,Premier League,Home,Everton,1,1,Fulham,2,0
123,2024-11-02,15,10,England,Premier League,Away,Everton,0,1,Southampton,0,-1
124,2024-11-09,15,11,England,Premier League,Away,Everton,0,0,West Ham,2,0
125,2024-11-23,15,12,England,Premier League,Home,Everton,0,0,Brentford,2,0
126,2024-12-01,13,13,England,Premier League,Away,Everton,0,4,Man United,0,-4
127,2024-12-04,19,14,England,Premier League,Home,Everton,4,0,Wolverhampton,1,4
128,2024-12-14,15,16,England,Premier League,Away,Everton,0,0,Arsenal,2,0
129,2024-12-22,14,17,England,Premier League,Home,Everton,0,0,Chelsea,2,0
130,2024-12-26,12,18,England,Premier League,Away,Everton,1,1,Man City,2,0
131,2024-12-29,15,19,England,Premier League,Home,Everton,0,2,Nottingham,0,-2
