,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
855,2023-12-30,12,20,England,Premier League,Away,Chelsea,3,2,Luton Town,1,1
856,2024-01-13,12,21,England,Premier League,Home,Chelsea,1,0,Fulham,1,1
857,2024-01-31,20,22,England,Premier League,Away,Chelsea,1,4,Liverpool,0,-3
858,2024-02-04,14,23,England,Premier League,Home,Chelsea,2,4,Wolverhampton,0,-2
859,2024-02-12,20,24,England,Premier League,Away,Chelsea,3,1,Crystal Palace,1,2
860,2024-02-17,17,25,England,Premier League,Away,Chelsea,1,1,Man City,2,0
861,2024-03-02,15,27,England,Premier League,Away,Chelsea,2,2,Brentford,2,0
862,2024-03-11,20,28,England,Premier League,Home,Chelsea,3,2,Newcastle,1,1
863,2024-03-30,15,30,England,Premier League,Home,Chelsea,2,2,Burnley,2,0
864,2024-04-04,19,31,England,Premier League,Home,Chelsea,4,3,Man United,1,1
865,2024-04-07,16,32,England,Premier League,Away,Chelsea,2,2,Sheffield Utd,2,0
866,2024-04-15,19,33,England,Premier League,Home,Chelsea,6,0,Everton,1,6
867,2024-04-23,19,29,England,Premier League,Away,Chelsea,0,5,Arsenal,0,-5
868,2024-04-27,19,35,England,Premier League,Away,Chelsea,2,2,Aston Villa,2,0
869,2024-05-02,18,26,England,Premier League,Home,Chelsea,2,0,Tottenham,1,2
870,2024-05-05,13,36,England,Premier League,Home,Chelsea,5,0,West Ham,1,5
871,2024-05-11,16,37,England,Premier League,Away,Chelsea,3,2,Nottingham,1,1
872,2024-05-15,18,34,England,Premier League,Away,Chelsea,2,1,Brighton Hove,1,1
873,2024-05-19,15,38,England,Premier League,Home,Chelsea,2,1,Bournemouth,1,1
874,2023-08-12,14,1,England,Premier League,Home,Everton,0,1,Fulham,0,-1
875,2023-08-20,13,2,England,Premier League,Away,Everton,0,4,Aston Villa,0,-4
876,2023-08-26,14,3,England,Premier League,Home,Everton,0,1,Wolverhampton,0,-1
877,2023-09-02,11,4,England,Premier League,Away,Everton,2,2,Sheffield Utd,2,0
878,2023-09-17,15,5,England,Premier League,Home,Everton,0,1,Arsenal,0,-1
879,2023-09-23,16,6,England,Premier League,Away,Everton,3,1,Brentford,1,2
880,2023-09-30,14,7,England,Premier League,Home,Everton,1,2,Luton Town,0,-1
881,2023-10-07,14,8,England,Premier League,Home,Everton,3,0,Bournemouth,1,3
882,2023-10-21,11,9,England,Premier League,Away,Everton,0,2,Liverpool,0,-2
883,2023-10-29,13,10,England,Premier League,Away,Everton,1,0,West Ham,1,1
884,2023-11-04,15,11,England,Premier League,Home,Everton,1,1,Brighton Hove,2,0
885,2023-11-11,15,12,England,Premier League,Away,Everton,3,2,Crystal Palace,1,1
886,2023-11-26,16,13,England,Premier League,Home,Everton,0,3,Man United,0,-3
887,2023-12-02,17,14,England,Premier League,Away,Everton,1,0,Nottingham,1,1
888,2023-12-07,19,15,England,Premier League,Home,Everton,3,0,Newcastle,1,3
889,2023-12-10,14,16,England,Premier League,Home,Everton,2,0,Chelsea,1,2
890,2023-12-16,17,17,England,Premier League,Away,Everton,2,0,Burnley,1,2
891,2023-12-23,15,18,England,Premier League,Away,Everton,1,2,Tottenham,0,-1
892,2023-12-27,20,19,England,Premier League,Home,Everton,1,3,Man City,0,-2
893,2023-12-30,15,20,England,Premier League,Away,Everton,0,3,Wolverhampton,0,-3
894,2024-01-14,14,21,England,Premier League,Home,Everton,0,0,Aston Villa,2,0
895,2024-01-30,19,22,England,Premier League,Away,Everton,0,0,Fulham,2,0
896,2024-02-03,12,23,England,Premier League,Home,Everton,2,2,Tottenham,2,0
897,2024-02-10,12,24,England,Premier League,Away,Everton,0,2,Man City,0,-2
898,2024-02-19,20,25,England,Premier League,Home,Everton,1,1,Crystal Palace,2,0
899,2024-02-24,15,26,England,Premier League,Away,Everton,1,1,Brighton Hove,2,0
900,2024-03-02,15,27,England,Premier League,Home,Everton,1,3,West Ham,0,-2
901,2024-03-09,12,28,England,Premier League,Away,Everton,0,2,Man United,0,-2
902,2024-03-30,15,30,England,Premier League,Away,Everton,1,2,Bournemouth,0,-1
903,2024-04-02,18,31,England,Premier League,Away,Everton,1,1,Newcastle,2,0
904,2024-04-06,14,32,England,Premier League,Home,Everton,1,0,Burnley,1,1
905,2024-04-15,19,33,England,Premier League,Away,Everton,0,6,Chelsea,0,-6
906,2024-04-21,12,34,England,Premier League,Home,Everton,2,0,Nottingham,1,2
907,2024-04-24,19,29,England,Premier League,Home,Everton,2,0,Liverpool,1,2
908,2024-04-27,16,35,England,Premier League,Home,Everton,1,0,Brentford,1,1
909,2024-05-03,19,36,England,Premier League,Away,Everton,1,1,Luton Town,2,0
910,2024-05-11,14,37,England,Premier League,Home,Everton,1,0,Sheffield Utd,1,1
911,2024-05-19,15,38,England,Premier League,Away,Everton,1,2,Arsenal,0,-1
912,2023-08-12,14,1,England,Premier League,Away,Fulham,1,0,Everton,1,1
913,2023-08-19,14,2,England,Premier League,Home,Fulham,0,3,Brentford,0,-3
914,2023-08-26,14,3,England,Premier League,Away,Fulham,2,2,Arsenal,2,0
915,2023-09-02,14,4,England,Premier League,Away,Fulham,1,5,Man City,0,-4
916,2023-09-16,14,5,England,Premier League,Home,Fulham,1,0,Luton Town,1,1
917,2023-09-23,14,6,England,Premier League,Away,Fulham,0,0,Crystal Palace,2,0
918,2023-10-02,19,7,England,Premier League,Home,Fulham,0,2,Chelsea,0,-2
919,2023-10-07,14,8,England,Premier League,Home,Fulham,3,1,Sheffield Utd,1,2
920,2023-10-23,19,9,England,Premier League,Away,Fulham,0,2,Tottenham,0,-2
921,2023-10-29,14,10,England,Premier League,Away,Fulham,1,1,Brighton Hove,2,0
922,2023-11-04,12,11,England,Premier League,Home,Fulham,0,1,Man United,0,-1
923,2023-11-12,14,12,England,Premier League,Away,Fulham,1,3,Aston Villa,0,-2
924,2023-11-27,20,13,England,Premier League,Home,Fulham,3,2,Wolverhampton,1,1
925,2023-12-03,14,14,England,Premier League,Away,Fulham,3,4,Liverpool,0,-1
926,2023-12-06,19,15,England,Premier League,Home,Fulham,5,0,Nottingham,1,5
927,2023-12-10,14,16,England,Premier League,Home,Fulham,5,0,West Ham,1,5
928,2023-12-16,15,17,England,Premier League,Away,Fulham,0,3,Newcastle,0,-3
929,2023-12-23,15,18,England,Premier League,Home,Fulham,0,2,Burnley,0,-2
930,2023-12-26,15,19,England,Premier League,Away,Fulham,0,3,Bournemouth,0,-3
931,2023-12-31,14,20,England,Premier League,Home,Fulham,2,1,Arsenal,1,1
932,2024-01-13,12,21,England,Premier League,Away,Fulham,0,1,Chelsea,0,-1
933,2024-01-30,19,22,England,Premier League,Home,Fulham,0,0,Everton,2,0
934,2024-02-03,15,23,England,Premier League,Away,Fulham,2,2,Burnley,2,0
935,2024-02-10,15,24,England,Premier League,Home,Fulham,3,1,Bournemouth,1,2
936,2024-02-17,15,25,England,Premier League,Home,Fulham,1,2,Aston Villa,0,-1
937,2024-02-24,15,26,England,Premier League,Away,Fulham,2,1,Man United,1,1
938,2024-03-02,15,27,England,Premier League,Home,Fulham,3,0,Brighton Hove,1,3
939,2024-03-09,15,28,England,Premier League,Away,Fulham,1,2,Wolverhampton,0,-1
940,2024-03-16,17,29,England,Premier League,Home,Fulham,3,0,Tottenham,1,3
941,2024-03-30,15,30,England,Premier League,Away,Fulham,3,3,Sheffield Utd,2,0
942,2024-04-02,18,31,England,Premier League,Away,Fulham,1,3,Nottingham,0,-2
943,2024-04-06,14,32,England,Premier League,Home,Fulham,0,1,Newcastle,0,-1
944,2024-04-14,13,33,England,Premier League,Away,Fulham,2,0,West Ham,1,2
945,2024-04-21,15,34,England,Premier League,Home,Fulham,1,3,Liverpool,0,-2
946,2024-04-27,14,35,England,Premier League,Home,Fulham,1,1,Crystal Palace,2,0
947,2024-05-04,14,36,England,Premier League,Away,Fulham,0,0,Brentford,2,0
948,2024-05-11,11,37,England,Premier League,Home,Fulham,0,4,Man City,0,-4
949,2024-05-19,15,38,England,Premier League,Away,Fulham,4,2,Luton Town,1,2
950,2023-08-13,15,1,England,Premier League,Away,Liverpool,1,1,Chelsea,2,0
951,2023-08-19,14,2,England,Premier League,Home,Liverpool,3,1,Bournemouth,1,2
952,2023-08-27,15,3,England,Premier League,Away,Liverpool,2,1,Newcastle,1,1
953,2023-09-03,13,4,England,Premier League,Home,Liverpool,3,0,Aston Villa,1,3
954,2023-09-16,11,5,England,Premier League,Away,Liverpool,3,1,Wolverhampton,1,2
955,2023-09-24,13,6,England,Premier League,Home,Liverpool,3,1,West Ham,1,2
956,2023-09-30,16,7,England,Premier League,Away,Liverpool,1,2,Tottenham,0,-1
957,2023-10-08,13,8,England,Premier League,Away,Liverpool,2,2,Brighton Hove,2,0
958,2023-10-21,11,9,England,Premier League,Home,Liverpool,2,0,Everton,1,2
959,2023-10-29,14,10,England,Premier League,Home,Liverpool,3,0,Nottingham,1,3
960,2023-11-05,16,11,England,Premier League,Away,Liverpool,1,1,Luton Town,2,0
961,2023-11-12,14,12,England,Premier League,Home,Liverpool,3,0,Brentford,1,3
962,2023-11-25,12,13,England,Premier League,Away,Liverpool,1,1,Man City,2,0
963,2023-12-03,14,14,England,Premier League,Home,Liverpool,4,3,Fulham,1,1
964,2023-12-06,19,15,England,Premier League,Away,Liverpool,2,0,Sheffield Utd,1,2
965,2023-12-09,12,16,England,Premier League,Away,Liverpool,2,1,Crystal Palace,1,1
966,2023-12-17,16,17,England,Premier League,Home,Liverpool,0,0,Man United,2,0
967,2023-12-23,17,18,England,Premier League,Home,Liverpool,1,1,Arsenal,2,0
968,2023-12-26,17,19,England,Premier League,Away,Liverpool,2,0,Burnley,1,2
969,2024-01-01,20,20,England,Premier League,Home,Liverpool,4,2,Newcastle,1,2
970,2024-01-21,16,21,England,Premier League,Away,Liverpool,4,0,Bournemouth,1,4
971,2024-01-31,20,22,England,Premier League,Home,Liverpool,4,1,Chelsea,1,3
972,2024-02-04,16,23,England,Premier League,Away,Liverpool,1,3,Arsenal,0,-2
973,2024-02-10,15,24,England,Premier League,Home,Liverpool,3,1,Burnley,1,2
974,2024-02-17,12,25,England,Premier League,Away,Liverpool,4,1,Brentford,1,3
975,2024-02-21,19,26,England,Premier League,Home,Liverpool,4,1,Luton Town,1,3
976,2024-03-02,15,27,England,Premier League,Away,Liverpool,1,0,Nottingham,1,1
977,2024-03-10,15,28,England,Premier League,Home,Liverpool,1,1,Man City,2,0
978,2024-03-31,13,30,England,Premier League,Home,Liverpool,2,1,Brighton Hove,1,1
979,2024-04-04,18,31,England,Premier League,Home,Liverpool,3,1,Sheffield Utd,1,2
980,2024-04-07,14,32,England,Premier League,Away,Liverpool,2,2,Man United,2,0
981,2024-04-14,13,33,England,Premier League,Home,Liverpool,0,1,Crystal Palace,0,-1
982,2024-04-21,15,34,England,Premier League,Away,Liverpool,3,1,Fulham,1,2
983,2024-04-24,19,29,England,Premier League,Away,Liverpool,0,2,Everton,0,-2
984,2024-04-27,11,35,England,Premier League,Away,Liverpool,2,2,West Ham,2,0
985,2024-05-05,15,36,England,Premier League,Home,Liverpool,4,2,Tottenham,1,2
986,2024-05-13,19,37,England,Premier League,Away,Liverpool,3,3,Aston Villa,2,0
987,2024-05-19,15,38,England,Premier League,Home,Liverpool,2,0,Wolverhampton,1,2
988,2023-08-11,19,1,England,Premier League,Away,Man City,3,0,Burnley,1,3
989,2023-08-19,19,2,England,Premier League,Home,Man City,1,0,Newcastle,1,1
990,2023-08-27,13,3,England,Premier League,Away,Man City,2,1,Sheffield Utd,1,1
991,2023-09-02,14,4,England,Premier League,Home,Man City,5,1,Fulham,1,4
992,2023-09-16,14,5,England,Premier League,Away,Man City,3,1,West Ham,1,2
993,2023-09-23,14,6,England,Premier League,Home,Man City,2,0,Nottingham,1,2
994,2023-09-30,14,7,England,Premier League,Away,Man City,1,2,Wolverhampton,0,-1
995,2023-10-08,15,8,England,Premier League,Away,Man City,0,1,Arsenal,0,-1
996,2023-10-21,14,9,England,Premier League,Home,Man City,2,1,Brighton Hove,1,1
997,2023-10-29,15,10,England,Premier League,Away,Man City,3,0,Man United,1,3
998,2023-11-04,15,11,England,Premier League,Home,Man City,6,1,Bournemouth,1,5
999,2023-11-12,16,12,England,Premier League,Away,Man City,4,4,Chelsea,2,0
1000,2023-11-25,12,13,England,Premier League,Home,Man City,1,1,Liverpool,2,0
1001,2023-12-03,16,14,England,Premier League,Home,Man City,3,3,Tottenham,2,0
1002,2023-12-06,20,15,England,Premier League,Away,Man City,0,1,Aston Villa,0,-1
1003,2023-12-10,14,16,England,Premier League,Away,Man City,2,1,Luton Town,1,1
1004,2023-12-16,15,17,England,Premier League,Home,Man City,2,2,Crystal Palace,2,0
1005,2023-12-27,20,19,England,Premier League,Away,Man City,3,1,Everton,1,2
1006,2023-12-30,15,20,England,Premier League,Home,Man City,2,0,Sheffield Utd,1,2
1007,2024-01-13,17,21,England,Premier League,Away,Man City,3,2,Newcastle,1,1
1008,2024-01-31,19,22,England,Premier League,Home,Man City,3,1,Burnley,1,2
1009,2024-02-05,20,23,England,Premier League,Away,Man City,3,1,Brentford,1,2
1010,2024-02-10,12,24,England,Premier League,Home,Man City,2,0,Everton,1,2
1011,2024-02-17,17,25,England,Premier League,Home,Man City,1,1,Chelsea,2,0
1012,2024-02-20,19,18,England,Premier League,Home,Man City,1,0,Brentford,1,1
1013,2024-02-24,17,26,England,Premier League,Away,Man City,1,0,Bournemouth,1,1
1014,2024-03-03,15,27,England,Premier League,Home,Man City,3,1,Man United,1,2
1015,2024-03-10,15,28,England,Premier League,Away,Man City,1,1,Liverpool,2,0
1016,2024-03-31,15,30,England,Premier League,Home,Man City,0,0,Arsenal,2,0
1017,2024-04-03,19,31,England,Premier League,Home,Man City,4,1,Aston Villa,1,3
1018,2024-04-06,11,32,England,Premier League,Away,Man City,4,2,Crystal Palace,1,2
1019,2024-04-13,14,33,England,Premier League,Home,Man City,5,1,Luton Town,1,4
1020,2024-04-25,19,29,England,Premier League,Away,Man City,4,0,Brighton Hove,1,4
1021,2024-04-28,15,35,England,Premier League,Away,Man City,2,0,Nottingham,1,2
1022,2024-05-04,16,36,England,Premier League,Home,Man City,5,1,Wolverhampton,1,4
1023,2024-05-11,11,37,England,Premier League,Away,Man City,4,0,Fulham,1,4
1024,2024-05-14,19,34,England,Premier League,Away,Man City,2,0,Tottenham,1,2
1025,2024-05-19,15,38,England,Premier League,Home,Man City,3,1,West Ham,1,2
1026,2023-08-14,19,1,England,Premier League,Home,Man United,1,0,Wolverhampton,1,1
1027,2023-08-19,16,2,England,Premier League,Away,Man United,0,2,Tottenham,0,-2
1028,2023-08-26,14,3,England,Premier League,Home,Man United,3,2,Nottingham,1,1
1029,2023-09-03,15,4,England,Premier League,Away,Man United,1,3,Arsenal,0,-2
1030,2023-09-16,14,5,England,Premier League,Home,Man United,1,3,Brighton Hove,0,-2
1031,2023-09-23,19,6,England,Premier League,Away,Man United,1,0,Burnley,1,1
1032,2023-09-30,14,7,England,Premier League,Home,Man United,0,1,Crystal Palace,0,-1
1033,2023-10-07,14,8,England,Premier League,Home,Man United,2,1,Brentford,1,1
1034,2023-10-21,19,9,England,Premier League,Away,Man United,2,1,Sheffield Utd,1,1
1035,2023-10-29,15,10,England,Premier League,Home,Man United,0,3,Man City,0,-3
1036,2023-11-04,12,11,England,Premier League,Away,Man United,1,0,Fulham,1,1
1037,2023-11-11,15,12,England,Premier League,Home,Man United,1,0,Luton Town,1,1
1038,2023-11-26,16,13,England,Premier League,Away,Man United,3,0,Everton,1,3
1039,2023-12-02,20,14,England,Premier League,Away,Man United,0,1,Newcastle,0,-1
1040,2023-12-06,20,15,England,Premier League,Home,Man United,2,1,Chelsea,1,1
1041,2023-12-09,15,16,England,Premier League,Home,Man United,0,3,Bournemouth,0,-3
1042,2023-12-17,16,17,England,Premier League,Away,Man United,0,0,Liverpool,2,0
1043,2023-12-23,12,18,England,Premier League,Away,Man United,0,2,West Ham,0,-2
1044,2023-12-26,20,19,England,Premier League,Home,Man United,3,2,Aston Villa,1,1
1045,2023-12-30,17,20,England,Premier League,Away,Man United,1,2,Nottingham,0,-1
1046,2024-01-14,16,21,England,Premier League,Home,Man United,2,2,Tottenham,2,0
1047,2024-02-01,20,22,England,Premier League,Away,Man United,4,3,Wolverhampton,1,1
1048,2024-02-04,14,23,England,Premier League,Home,Man United,3,0,West Ham,1,3
1049,2024-02-11,16,24,England,Premier League,Away,Man United,2,1,Aston Villa,1,1
1050,2024-02-18,16,25,England,Premier League,Away,Man United,2,1,Luton Town,1,1
1051,2024-02-24,15,26,England,Premier League,Home,Man United,1,2,Fulham,0,-1
1052,2024-03-03,15,27,England,Premier League,Away,Man United,1,3,Man City,0,-2
1053,2024-03-09,12,28,England,Premier League,Home,Man United,2,0,Everton,1,2
1054,2024-03-30,20,30,England,Premier League,Away,Man United,1,1,Brentford,2,0
1055,2024-04-04,19,31,England,Premier League,Away,Man United,3,4,Chelsea,0,-1
1056,2024-04-07,14,32,England,Premier League,Home,Man United,2,2,Liverpool,2,0
1057,2024-04-13,16,33,England,Premier League,Away,Man United,2,2,Bournemouth,2,0
1058,2024-04-24,19,29,England,Premier League,Home,Man United,4,2,Sheffield Utd,1,2
1059,2024-04-27,14,35,England,Premier League,Home,Man United,1,1,Burnley,2,0
1060,2024-05-06,19,36,England,Premier League,Away,Man United,0,4,Crystal Palace,0,-4
1061,2024-05-12,15,37,England,Premier League,Home,Man United,0,1,Arsenal,0,-1
1062,2024-05-15,19,34,England,Premier League,Home,Man United,3,2,Newcastle,1,1
1063,2024-05-19,15,38,England,Premier League,Away,Man United,2,0,Brighton Hove,1,2
1064,2023-08-12,16,1,England,Premier League,Home,Newcastle,5,1,Aston Villa,1,4
1065,2023-08-19,19,2,England,Premier League,Away,Newcastle,0,1,Man City,0,-1
1066,2023-08-27,15,3,England,Premier League,Home,Newcastle,1,2,Liverpool,0,-1
1067,2023-09-02,16,4,England,Premier League,Away,Newcastle,1,3,Brighton Hove,0,-2
1068,2023-09-16,16,5,England,Premier League,Home,Newcastle,1,0,Brentford,1,1
1069,2023-09-24,15,6,England,Premier League,Away,Newcastle,8,0,Sheffield Utd,1,8
1070,2023-09-30,14,7,England,Premier League,Home,Newcastle,2,0,Burnley,1,2
1071,2023-10-08,13,8,England,Premier League,Away,Newcastle,2,2,West Ham,2,0
1072,2023-10-21,14,9,England,Premier League,Home,Newcastle,4,0,Crystal Palace,1,4
1073,2023-10-28,16,10,England,Premier League,Away,Newcastle,2,2,Wolverhampton,2,0
1074,2023-11-04,17,11,England,Premier League,Home,Newcastle,1,0,Arsenal,1,1
1075,2023-11-11,17,12,England,Premier League,Away,Newcastle,0,2,Bournemouth,0,-2
1076,2023-11-25,15,13,England,Premier League,Home,Newcastle,4,1,Chelsea,1,3
1077,2023-12-02,20,14,England,Premier League,Home,Newcastle,1,0,Man United,1,1
1078,2023-12-07,19,15,England,Premier League,Away,Newcastle,0,3,Everton,0,-3
1079,2023-12-10,16,16,England,Premier League,Away,Newcastle,1,4,Tottenham,0,-3
1080,2023-12-16,15,17,England,Premier League,Home,Newcastle,3,0,Fulham,1,3
1081,2023-12-23,15,18,England,Premier League,Away,Newcastle,0,1,Luton Town,0,-1
1082,2023-12-26,12,19,England,Premier League,Home,Newcastle,1,3,Nottingham,0,-2
1083,2024-01-01,20,20,England,Premier League,Away,Newcastle,2,4,Liverpool,0,-2
1084,2024-01-13,17,21,England,Premier League,Home,Newcastle,2,3,Man City,0,-1
1085,2024-01-30,20,22,England,Premier League,Away,Newcastle,3,1,Aston Villa,1,2
1086,2024-02-03,15,23,England,Premier League,Home,Newcastle,4,4,Luton Town,2,0
1087,2024-02-10,17,24,England,Premier League,Away,Newcastle,3,2,Nottingham,1,1
1088,2024-02-17,15,25,England,Premier League,Home,Newcastle,2,2,Bournemouth,2,0
1089,2024-02-24,20,26,England,Premier League,Away,Newcastle,1,4,Arsenal,0,-3
1090,2024-03-02,15,27,England,Premier League,Home,Newcastle,3,0,Wolverhampton,1,3
1091,2024-03-11,20,28,England,Premier League,Away,Newcastle,2,3,Chelsea,0,-1
1092,2024-03-30,12,30,England,Premier League,Home,Newcastle,4,3,West Ham,1,1
1093,2024-04-02,18,31,England,Premier League,Home,Newcastle,1,1,Everton,2,0
1094,2024-04-06,14,32,England,Premier League,Away,Newcastle,1,0,Fulham,1,1
1095,2024-04-13,11,33,England,Premier League,Home,Newcastle,4,0,Tottenham,1,4
1096,2024-04-24,19,29,England,Premier League,Away,Newcastle,0,2,Crystal Palace,0,-2
1097,2024-04-27,14,35,England,Premier League,Home,Newcastle,5,1,Sheffield Utd,1,4
1098,2024-05-04,14,36,England,Premier League,Away,Newcastle,4,1,Burnley,1,3
1099,2024-05-11,14,37,England,Premier League,Home,Newcastle,1,1,Brighton Hove,2,0
1100,2024-05-15,19,34,England,Premier League,Away,Newcastle,2,3,Man United,0,-1
1101,2024-05-19,15,38,England,Premier League,Away,Newcastle,4,2,Brentford,1,2
1102,2023-08-13,13,1,England,Premier League,Away,Tottenham,2,2,Brentford,2,0
1103,2023-08-19,16,2,England,Premier League,Home,Tottenham,2,0,Man United,1,2
1104,2023-08-26,11,3,England,Premier League,Away,Tottenham,2,0,Bournemouth,1,2
1105,2023-09-02,14,4,England,Premier League,Away,Tottenham,5,2,Burnley,1,3
1106,2023-09-16,14,5,England,Premier League,Home,Tottenham,2,1,Sheffield Utd,1,1
1107,2023-09-24,13,6,England,Premier League,Away,Tottenham,2,2,Arsenal,2,0
1108,2023-09-30,16,7,England,Premier League,Home,Tottenham,2,1,Liverpool,1,1
1109,2023-10-07,11,8,England,Premier League,Away,Tottenham,1,0,Luton Town,1,1
1110,2023-10-23,19,9,England,Premier League,Home,Tottenham,2,0,Fulham,1,2
1111,2023-10-27,19,10,England,Premier League,Away,Tottenham,2,1,Crystal Palace,1,1
1112,2023-11-06,20,11,England,Premier League,Home,Tottenham,1,4,Chelsea,0,-3
1113,2023-11-11,12,12,England,Premier League,Away,Tottenham,1,2,Wolverhampton,0,-1
1114,2023-11-26,14,13,England,Premier League,Home,Tottenham,1,2,Aston Villa,0,-1
1115,2023-12-03,16,14,England,Premier League,Away,Tottenham,3,3,Man City,2,0
1116,2023-12-07,20,15,England,Premier League,Home,Tottenham,1,2,West Ham,0,-1
1117,2023-12-10,16,16,England,Premier League,Home,Tottenham,4,1,Newcastle,1,3
1118,2023-12-15,20,17,England,Premier League,Away,Tottenham,2,0,Nottingham,1,2
1119,2023-12-23,15,18,England,Premier League,Home,Tottenham,2,1,Everton,1,1
1120,2023-12-28,19,19,England,Premier League,Away,Tottenham,2,4,Brighton Hove,0,-2
1121,2023-12-31,14,20,England,Premier League,Home,Tottenham,3,1,Bournemouth,1,2
1122,2024-01-14,16,21,England,Premier League,Away,Tottenham,2,2,Man United,2,0
1123,2024-01-31,19,22,England,Premier League,Home,Tottenham,3,2,Brentford,1,1
1124,2024-02-03,12,23,England,Premier League,Away,Tottenham,2,2,Everton,2,0
1125,2024-02-10,15,24,England,Premier League,Home,Tottenham,2,1,Brighton Hove,1,1
1126,2024-02-17,15,25,England,Premier League,Home,Tottenham,1,2,Wolverhampton,0,-1
1127,2024-03-02,15,27,England,Premier League,Home,Tottenham,3,1,Crystal Palace,1,2
1128,2024-03-10,13,28,England,Premier League,Away,Tottenham,4,0,Aston Villa,1,4
1129,2024-03-16,17,29,England,Premier League,Away,Tottenham,0,3,Fulham,0,-3
1130,2024-03-30,15,30,England,Premier League,Home,Tottenham,2,1,Luton Town,1,1
1131,2024-04-02,19,31,England,Premier League,Away,Tottenham,1,1,West Ham,2,0
1132,2024-04-07,17,32,England,Premier League,Home,Tottenham,3,1,Nottingham,1,2
1133,2024-04-13,11,33,England,Premier League,Away,Tottenham,0,4,Newcastle,0,-4
1134,2024-04-28,13,35,England,Premier League,Home,Tottenham,2,3,Arsenal,0,-1
1135,2024-05-02,18,26,England,Premier League,Away,Tottenham,0,2,Chelsea,0,-2
1136,2024-05-05,15,36,England,Premier League,Away,Tottenham,2,4,Liverpool,0,-2
1137,2024-05-11,14,37,England,Premier League,Home,Tottenham,2,1,Burnley,1,1
1138,2024-05-14,19,34,England,Premier League,Home,Tottenham,0,2,Man City,0,-2
1139,2024-05-19,15,38,England,Premier League,Away,Tottenham,3,0,Sheffield Utd,1,3
1140,2023-08-14,19,1,England,Premier League,Away,Wolverhampton,0,1,Man United,0,-1
1141,2023-08-19,14,2,England,Premier League,Home,Wolverhampton,1,4,Brighton Hove,0,-3
1142,2023-08-26,14,3,England,Premier League,Away,Wolverhampton,1,0,Everton,1,1
1143,2023-09-03,13,4,England,Premier League,Away,Wolverhampton,2,3,Crystal Palace,0,-1
1144,2023-09-16,11,5,England,Premier League,Home,Wolverhampton,1,3,Liverpool,0,-2
1145,2023-09-23,14,6,England,Premier League,Away,Wolverhampton,1,1,Luton Town,2,0
1146,2023-09-30,14,7,England,Premier League,Home,Wolverhampton,2,1,Man City,1,1
1147,2023-10-08,13,8,England,Premier League,Home,Wolverhampton,1,1,Aston Villa,2,0
1148,2023-10-21,14,9,England,Premier League,Away,Wolverhampton,2,1,Bournemouth,1,1
1149,2023-10-28,16,10,England,Premier League,Home,Wolverhampton,2,2,Newcastle,2,0
1150,2023-11-04,15,11,England,Premier League,Away,Wolverhampton,1,2,Sheffield Utd,0,-1
1151,2023-11-11,12,12,England,Premier League,Home,Wolverhampton,2,1,Tottenham,1,1
1152,2023-11-27,20,13,England,Premier League,Away,Wolverhampton,2,3,Fulham,0,-1
1153,2023-12-02,15,14,England,Premier League,Away,Wolverhampton,1,2,Arsenal,0,-1
1154,2023-12-05,19,15,England,Premier League,Home,Wolverhampton,1,0,Burnley,1,1
1155,2023-12-09,15,16,England,Premier League,Home,Wolverhampton,1,1,Nottingham,2,0
1156,2023-12-17,14,17,England,Premier League,Away,Wolverhampton,0,3,West Ham,0,-3
1157,2023-12-24,13,18,England,Premier League,Home,Wolverhampton,2,1,Chelsea,1,1
1158,2023-12-27,19,19,England,Premier League,Away,Wolverhampton,4,1,Brentford,1,3
1159,2023-12-30,15,20,England,Premier League,Home,Wolverhampton,3,0,Everton,1,3
1160,2024-01-22,19,21,England,Premier League,Away,Wolverhampton,0,0,Brighton Hove,2,0
1161,2024-02-01,20,22,England,Premier League,Home,Wolverhampton,3,4,Man United,0,-1
1162,2024-02-04,14,23,England,Premier League,Away,Wolverhampton,4,2,Chelsea,1,2
1163,2024-02-10,15,24,England,Premier League,Home,Wolverhampton,0,2,Brentford,0,-2
1164,2024-02-17,15,25,England,Premier League,Away,Wolverhampton,2,1,Tottenham,1,1
1165,2024-02-25,13,26,England,Premier League,Home,Wolverhampton,1,0,Sheffield Utd,1,1
1166,2024-03-02,15,27,England,Premier League,Away,Wolverhampton,0,3,Newcastle,0,-3
1167,2024-03-09,15,28,England,Premier League,Home,Wolverhampton,2,1,Fulham,1,1
1168,2024-03-30,17,30,England,Premier League,Away,Wolverhampton,0,2,Aston Villa,0,-2
1169,2024-04-02,18,31,England,Premier League,Away,Wolverhampton,1,1,Burnley,2,0
1170,2024-04-06,14,32,England,Premier League,Home,Wolverhampton,1,2,West Ham,0,-1
1171,2024-04-13,14,33,England,Premier League,Away,Wolverhampton,2,2,Nottingham,2,0
1172,2024-04-20,18,34,England,Premier League,Home,Wolverhampton,0,2,Arsenal,0,-2
1173,2024-04-24,18,29,England,Premier League,Home,Wolverhampton,0,1,Bournemouth,0,-1
1174,2024-04-27,14,35,England,Premier League,Home,Wolverhampton,2,1,Luton Town,1,1
1175,2024-05-04,16,36,England,Premier League,Away,Wolverhampton,1,5,Man City,0,-4
1176,2024-05-11,14,37,England,Premier League,Home,Wolverhampton,1,3,Crystal Palace,0,-2
